CEP,Nome_Escola,Vagas,Latitude,Longitude
27197000,ESCOLA ESTADUAL MANOEL TEIXEIRA CAMPOS JUNIOR,100,-22.5177053,-44.0025719
24461840,ESCOLA MUNICIPAL PAULO REGLUS NEVES FREIRE,100,-22.7944578,-43.0343412
24473295,COLÉGIO EDUCANDÁRIO SETE DE SETEMBRO,100,-22.7792802,-43.0303922
21870250,ESCOLA MUNICIPAL UBALDO DE OLIVEIRA,100,-22.8696132,-43.4613031
22021040,COLÉGIO ESTADUAL PEDRO ÁLVARES CABRAL - RP 104,100,-22.9670015,-43.1823004
26286020,COLEGIO ESTADUAL ARRUDA NEGREIROS,100,-22.7525826,-43.4639136
21380210,ESCOLA MUNICIPAL QUINTINO BOCAIÚVA,100,-22.886607,-43.3189379
26285130,ESCOLA MUNICIPAL DOUTOR RUBENS FALCÃO,100,-22.7506951,-43.4660409
27510180,ESCOLA MUNICIPAL NOEL DE CARVALHO,100,-22.4635594,-44.4640755
28613560,COLÉGIO ESTADUAL DOUTOR JOÃO BAZET,100,-22.2914756,-42.5320998
22793080,COLÉGIO ESTADUAL VICENTE JANNUZZI,100,-23.0141759,-43.4664789
26250610,COLEGIO ESTADUAL LEOPOLDO MACHADO,100,-22.766878,-43.439714
25630110,ESCOLA MUNICIPAL LUIZ CARLOS SOARES,100,-22.5270611,-43.1626063
20780230,COLEGIO SANTA MONICA,100,-22.8933613,-43.2729826
27520172,COLÉGIO DOM BOSCO,100,-22.4713811,-44.4565247
20550035,ESCOLA MUNICIPAL GENERAL EUCLYDES DE FIGUEIREDO,100,-22.9222673,-43.2247217
26285320,ESCOLA MUNICIPAL HEITOR DANTAS,100,-22.7478309,-43.4521781
22080040,ESCOLA CASTELNUOVO,100,-22.9697777,-43.1868592
22260100,ESCOLA ADVENTISTA BOTAFOGO,100,-22.9519592,-43.1922804
25650061,ESCOLA PAROQUIAL BOM JESUS,100,-22.5300896,-43.2036091
22790832,ESCOLA MUNICIPAL RUTH CARDOSO,100,-23.0136663,-43.4634068
21311430,ESCOLA MUNICIPAL OSWALDO TEIXEIRA,100,-22.8954973,-43.3215435
22793530,ESCOLA MUNICIPAL TRISTÃO DE ATHAYDE,100,-23.0003709,-43.365895
21235280,ESCOLA MUNICIPAL MENDES VIANA,100,-22.8375268,-43.3320636
20745180,ESCOLA MUNICIPAL BRIGADEIRO FARIA LIMA,100,-22.9062526,-43.3083659
28755000,ESCOLA ESTADUAL HONESTALDA DE MORAES MARTINS,100,-22.0681494,-42.1605169
20510060,REDE MV1 - COLÉGIO MV1 JÚNIOR,100,-22.9338086635,-43.2402547974
25620000,COLEGIO ESTADUAL D. PEDRO II,100,-22.5112498,-43.1779306
27700000,ANDRADE COSTA - ESCOLA MUNICIPAL SAGRADA FAMILIA DE NAZARETH,100,-22.4074571,-43.6613985
28495000,ESCOLA ESTADUAL LOURENCA GUIMARAES,100,-21.6257256,-42.1020627
21520410,ESCOLA MUNICIPAL DEPUTADO HILTON GAMA,100,-22.807127,-43.3577767
27525004,COLÉGIO MUNICIPAL GETÚLIO VARGAS,100,-22.4810134,-44.4948395
28540000,COLÉGIO CENECISTA SANTA MÔNICA,100,-22.027222,-42.3652391
22290010,ESCOLA MUNICIPAL JOÃO SALDANHA,100,-22.9533954,-43.1824168
24465000,ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO,100,-22.8220148,-43.0500475
25804020,COLEGIO ESTADUAL CONDESSA DO RIO NOVO,100,-22.1170043,-43.2189459
22231140,COLÉGIO FORÇA MÁXIMA,100,-22.9331406,-43.1804256
21235130,ESCOLA MUNICIPAL MATO GROSSO,100,-22.8427776,-43.3262394
21840000,COLÉGIO ESTADUAL BANGU,100,-22.8667795,-43.4704282
21860005,ESCOLA MUNICIPAL RAFAEL CORREA DE OLIVEIRA,100,-22.8545094,-43.462979
20740321,COLÉGIO SÃO JUDAS TADEU,100,-22.8959587,-43.3021819
25805300,ESCOLA MUNICIPAL JOVINA DE FIGUEIREDO SALLES,100,-22.1182979,-43.2376409
20771350,ESCOLA MUNICIPAL MANOEL BOMFIM,100,-22.8846732,-43.2748686
21840447,COLÉGIO ESTADUAL PROFESSOR DALTRO SANTOS,100,-22.8754751,-43.4793187
21061020,ESCOLA MUNICIPAL AFONSO VÁRZEA,100,-22.8689014,-43.2676251
22793380,ESCOLA MUNICIPAL VICE ALMIRANTE ÁLVARO ALBERTO MOTTA E SILVA,100,-23.008182,-43.4295907
28388000,ESCOLA MUNICIPAL JOAO RODRIGUES FRANCA,100,-20.9814243,-41.8426073
26250240,ESCOLA MUNICIPAL PROFESSORA IZABEL DOS SANTOS SOARES MELLO,100,-22.7690777,-43.4436161
25635370,ESCOLA MUNICIPAL DR. RUBENS DE CASTRO BOMTEMPO,100,-22.5333729,-43.1777782
21530014,ESCOLA MUNICIPAL THOMAS JEFFERSON,100,-22.8287705,-43.3454822
21840450,ESCOLA MUNICIPAL PRACINHA JOÃO DA SILVA,100,-22.8748432,-43.4728022
20740260,ESCOLA MUNICIPAL FÉLIX PACHECO,100,-22.8934547,-43.3115886
21381330,ESCOLA MUNICIPAL JAIME COSTA,100,-22.8756912,-43.3138702
21331290,ESCOLA MUNICIPAL FRANCISCO PALHETA,100,-22.8642087,-43.3663802
25870000,COLEGIO ESTADUAL CORONEL ANTONIO PEÇANHA,100,-22.0294433,-43.2059216
21862170,COLÉGIO ESTADUAL JOÃO SALIM MIGUEL,100,-22.8700973,-43.4637839
21670450,ESCOLA MUNICIPAL MADRE BENEDITA,100,-22.8494451,-43.3812243
28390000,ESCOLA MUNICIPAL ORLINDA VEIGA,100,-20.9678604,-42.0410655
21870190,ESCOLA MUNICIPAL ANA AMÉLIA QUEIROZ CARNEIRO DE MENDONÇA,100,-22.8714961,-43.4588244
28625140,COLÉGIO ESTADUAL DOUTOR GALDINO DO VALLE FILHO,100,-22.2887547,-42.5360447
21670410,COLEGIO PIO XII,100,-22.8466055,-43.3761114
23970000,ESCOLA MUNICIPAL CILENCINA RUBEM DE OLIVEIRA MELO,100,-23.2200216,-44.7204284
25645707,ESCOLA MUNICIPAL PROFESSORA HERMINIA MATHEUS,100,-22.538925,-43.1941291
21235500,ESCOLA MUNICIPAL ALFREDO DE PAULA FREITAS,100,-22.8373926,-43.3210774
20511280,CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE,100,-22.9317063,-43.2427706
27525170,ESCOLA MUNICIPAL ALGODÃO DOCE,100,-22.4829942,-44.4949736
28545000,COLÉGIO MUNICIPAL PROFESSOR DAVI COELHO DOS SANTOS,100,-21.9844505,-42.2531991
24470136,ESCOLA MUNICIPAL CARLOS DRUMMOND DE ANDRADE,100,-22.7813801,-43.0627313
21660010,COLEGIO MERCEDARIO PIO XII MERCES,100,-22.8377077,-43.3735461
26700000,COLÉGIO CENECISTA MARECHAL RONDON,100,-22.5254727,-43.73121
25805001,COLEGIO ESTADUAL ROBERTO COELHO PEDROSO,100,-22.1182979,-43.2376409
20530002,ESCOLA PALAS (R. CONDE DE BONFIM),100,-22.9322313,-43.2406073
22290020,COLEGIO LOGOSÓFICO GONZÁLEZ PECOTCHE,100,-22.9538622,-43.1821537
22785590,ESCOLA MUNICIPAL PROFESSOR TEÓFILO MOREIRA DA COSTA,100,-22.9824888,-43.4920126
21073010,ESCOLA MUNICIPAL CHILE,100,-22.8484041,-43.2678081
22251050,ESCOLA DINAMIS,100,-22.9463882,-43.1856776
21073240,COLEGIO PINHEIRO,100,-22.8527514,-43.2682658
21060500,COLÉGIO NABE,100,-22.8656312,-43.257319
22231180,ESCOLA MUNICIPAL SENADOR CORREA,100,-22.9345897,-43.1802721
25804070,COLEGIO SANTO ANTONIO,100,-22.1159953,-43.2106667
