CEP,latitude,longitude
25821460,-22.1118021,-43.1117129
23855380,-22.8374104,-43.7112004
27525398,-22.4734995,-44.4965118
26083605,-22.728491,-43.5199859
25035030,-22.764269,-43.308494
27525396,-22.4739143,-44.4964559
26083610,-22.7317741,-43.5193075
25035035,-22.7600138,-43.3077331
25821470,-22.1275437,-43.1526648
26083615,-22.7393232,-43.5102054
27525410,-22.4755756,-44.5068264
25821475,-22.1118021,-43.1117129
25035050,-22.7599274,-43.3062482
25821484,-22.1118021,-43.1117129
25821490,-22.1118021,-43.1117129
25821491,-22.1118021,-43.1117129
25821492,-22.1118021,-43.1117129
25821500,-22.1283514,-43.1511471
25035070,-22.7614506,-43.3050533
27525440,-22.4709659,-44.4513347
25035090,-22.7615492,-43.3038748
27525460,-22.4765796,-44.5068804
25035095,-22.7865672,-43.3089653
27525464,-22.4762214,-44.5072225
27525466,-22.4709659,-44.4513347
25821530,-22.1118021,-43.1117129
27525468,-22.4773257,-44.5067081
25035100,-22.7600775,-43.3039988
27525470,-22.477701,-44.5064457
27525472,-22.4779015,-44.505727
27263330,-22.5242024,-44.124827
27525474,-22.4709659,-44.4513347
25821540,-22.127418,-43.1508897
25035110,-22.7588288,-43.305652
27525480,-22.4761331,-44.5035526
27525484,-22.4765863,-44.5053036
27263340,-22.524087,-44.1262633
25821550,-22.1296947,-43.1511221
27263350,-22.5244138,-44.1254234
25821560,-22.129152,-43.1481037
25821564,-22.1118021,-43.1117129
27525504,-22.475277,-44.5015875
25821570,-22.1118021,-43.1117129
27525506,-22.4755464,-44.5022512
25035140,-22.7629076,-43.3065159
27525510,-22.4762581,-44.4988019
27525512,-22.4709659,-44.4513347
27263370,-22.5228444,-44.1239373
27525514,-22.4709659,-44.4513347
25821580,-22.1118021,-43.1117129
25035150,-22.7600138,-43.3077331
27525520,-22.4885434,-44.5038704
27263380,-22.5230558,-44.1231086
27525524,-22.4535269,-44.39095
27263390,-22.5249628,-44.1252075
25821600,-22.1118021,-43.1117129
25035170,-22.7687938,-43.3223209
27525540,-22.4724838,-44.5038344
24904100,-22.9339527,-42.8245961
25035175,-22.7525417,-43.3067086
27263400,-22.5249628,-44.1252075
27525544,-22.4732735,-44.5040936
25821610,-22.1118021,-43.1117129
27525548,-22.4722872,-44.5022042
27525550,-22.4722872,-44.5022042
24904110,-22.9339527,-42.8245961
27525552,-22.4722512,-44.5022126
25035185,-22.756182,-43.3054448
27525554,-22.4726582,-44.502134
24904115,-22.9339527,-42.8245961
27525560,-22.4709659,-44.4513347
27525562,-22.4709659,-44.4513347
24904125,-22.9339527,-42.8245961
25821630,-22.1420839,-43.1541276
25035200,-22.7558884,-43.3036405
24904130,-22.9339527,-42.8245961
27263430,-22.5245692,-44.1257837
24904135,-22.9339527,-42.8245961
27263431,-22.5233498,-44.118809
25821640,-22.1420839,-43.1541276
25035210,-22.7523096,-43.2739077
27250041,-22.5077893,-44.0651235
27525580,-22.4709659,-44.4513347
27263432,-22.5212979,-44.116815
27525582,-22.4709659,-44.4513347
27525584,-22.4746766,-44.5012925
27525586,-22.4709659,-44.4513347
25821650,-22.110159996,-43.209
25035220,-22.7588551,-43.3034067
27525590,-22.4763524,-44.499908
27525592,-22.4819013,-44.5051602
27525594,-22.4818191,-44.5069454
27525596,-22.4709659,-44.4513347
25821660,-22.1420839,-43.1541276
25035230,-22.7513859,-43.3064758
27525598,-22.4830583,-44.5049728
20972000,-22.8844136,-43.2562996
27525600,-22.4887659,-44.5029748
25821670,-22.1420839,-43.1541276
27525608,-22.4908007,-44.5019792
20972010,-22.8874249,-43.2593245
27525610,-22.4747603,-44.4963555
27525612,-22.4897882,-44.502495
25035245,-22.7555893,-43.3126197
27263470,-22.5290876,-44.1164933
25035247,-22.7450612,-43.3215766
25821680,-22.1420839,-43.1541276
25821678,-22.1420839,-43.1541276
27525618,-22.4877647,-44.503462
28180970,-21.48509,-41.616893
25035252,-22.7701617,-43.3372564
25035253,-22.7523096,-43.2739077
27525622,-22.4867278,-44.5039623
27525620,-22.4872583,-44.5037172
25035255,-22.7600138,-43.3077331
27525624,-22.4862271,-44.5042033
27263480,-22.5219369,-44.1200905
27250050,-22.5077893,-44.0651235
25035260,-22.7543199,-43.304458
27525628,-22.4851982,-44.5047091
27525630,-22.4846906,-44.5049551
27525632,-18.8967689,-48.2598841
24904200,-22.9339527,-42.8245961
27525640,-22.4709659,-44.4513347
27525642,-22.4709659,-44.4513347
27263500,-22.5215306,-44.117424
27525644,-22.49242,-44.5032745
27525646,-22.4709659,-44.4513347
27263505,-22.5238223,-44.1215048
27525650,-22.4763524,-44.499908
24904210,-22.9339527,-42.8245961
27525652,-22.4809674,-44.5029191
27263510,-22.5214013,-44.118856
27525656,-22.4797914,-44.5079174
25035290,-22.7608627,-43.311092
24904220,-22.9339527,-42.8245961
27525660,-22.4795955,-44.5061572
25035292,-22.7592519,-43.3110002
20972060,-22.8618084,-43.2779258
25035296,-22.7604229,-43.3109115
20972065,-22.8923272,-43.2581953
27525666,-22.477794,-44.5030606
24904225,-22.9339527,-42.8245961
27525668,-22.4785126,-44.5035676
25035300,-22.7523096,-43.2739077
24904230,-22.9339527,-42.8245961
27525670,-22.478997,-44.5035498
27525672,-22.4801216,-44.5033112
20972070,-22.8871264,-43.2586911
27525674,-22.4805476,-44.5031166
24904235,-22.9339527,-42.8245961
27263530,-22.523643,-44.1217945
25035310,-22.7577446,-43.3104509
27525678,-22.4813883,-44.5027162
24904240,-22.9339527,-42.8245961
27525684,-22.4786788,-44.5013451
24904245,-22.9339527,-42.8245961
25035320,-22.755383,-43.312237
24904255,-22.9339527,-42.8245961
25035330,-22.7557953,-43.3130008
27263555,-22.5241152,-44.1199233
27525700,-22.4727352,-44.4986027
24904260,-22.9339527,-42.8245961
20972100,-22.9234476,-43.2325119
24904265,-22.9339527,-42.8245961
25035340,-22.7602907,-43.3220107
27525710,-22.4731879,-44.4990715
20972110,-22.9391800066,-43.2472763571
27263570,-22.5232141,-44.121678
20972116,-22.8857383,-43.2571862
20972118,-22.8857383,-43.2571862
20972120,-22.8866874,-43.2574611
26215000,-22.75353,-43.4474781
24904280,-22.9339527,-42.8245961
27263580,-22.5221794,-44.1207249
24904285,-22.9339527,-42.8245961
27263585,-22.5229861,-44.1210806
20972130,-22.8923272,-43.2581953
24904290,-22.9339527,-42.8245961
20972132,-22.8923272,-43.2581953
27525730,-22.4731744,-44.4999367
26215010,-22.7561319,-43.4607419
25035370,-22.756449,-43.3079292
20972140,-22.8923272,-43.2581953
27263600,-22.5245363,-44.1167275
20710003,-22.9079577,-43.2721898
25035380,-22.7333809,-43.3050065
20710005,-22.9027575,-43.2796182
26215030,-22.7537083,-43.450158
20972150,-22.8923272,-43.2581953
27525750,-22.4727209,-44.4993
20710010,-22.904291,-43.2782544
25035390,-22.7527865,-43.3076201
27525760,-22.471498,-44.4992833
20972160,-22.9521416,-43.3596406
25035400,-22.7540736,-43.3098834
26215050,-22.7491883,-43.4483424
27525770,-22.4818191,-44.5069454
27263630,-22.5266802,-44.1169225
20710030,-22.9045356,-43.276743
25035410,-22.7545447,-43.3107296
20972180,-22.9031097,-43.2224704
27263640,-22.5232751,-44.1215743
20972190,-22.8923272,-43.2581953
26215071,-22.7567271,-43.4501544
26084000,-22.7356627,-43.5480746
25035425,-22.7560209,-43.3107474
20710050,-22.905749,-43.2757598
26215072,-22.756411,-43.4505351
27263650,-22.5294947,-44.1177367
26084005,-22.7379795,-43.5168853
25035430,-22.7830137,-43.3018537
26215080,-22.748465,-43.447051
26084010,-22.7439487,-43.5246361
25035435,-22.7676119,-43.2853818
27263660,-22.5293581,-44.1177949
26084015,-22.7379219,-43.5242972
25035440,-22.7862985,-43.3053106
26215090,-22.7484963,-43.4480286
20972210,-22.9007524,-43.2221955
26084020,-22.7379579,-43.5190755
20710070,-22.9063906,-43.2794161
27263671,-22.5232751,-44.1215743
25035450,-22.7563421,-43.3156161
20972220,-22.9007524,-43.2221955
26215100,-22.7540181,-43.4500913
26084030,-22.7439487,-43.5246361
27525822,-22.4909593,-44.5060586
27263680,-22.5243008,-44.1283662
27525825,-22.4755805,-44.4946322
26084035,-22.7379841,-43.5178866
25035460,-22.7574629,-43.3151344
27525827,-22.4751648,-44.4963113
26215110,-22.7487531,-43.4478852
27525829,-22.491424,-44.504254
26084040,-22.7392086,-43.5180729
27525832,-22.4909998,-44.5039538
27263690,-22.5228767,-44.1224991
27525836,-22.4827516,-44.5047683
26084045,-22.7379579,-43.5190755
27525838,-22.4852965,-44.5076896
27525839,-22.4819013,-44.5051602
27525840,-22.4818191,-44.5069454
26215120,-22.7517898,-43.4496057
20972240,-22.9004775,-43.2661268
27525843,-22.4872865,-44.4921234
27525844,-22.4900099,-44.496648
24904405,-22.9051677,-42.7970574
20710100,-22.9069329,-43.277518
27525847,-22.4729606,-44.5033172
27525848,-22.4872336,-44.4885232
26084055,-22.7379047,-43.5200762
26215130,-22.7535572,-43.4468354
24904410,-22.9076873,-42.7945256
26084060,-22.7380485,-43.5209214
27525845,-22.4732735,-44.5040936
27525849,-22.4876794,-44.4977107
27525850,-22.4726582,-44.5021339
26084065,-22.7368693,-43.5210102
25035490,-22.7560348,-43.313873
24904420,-22.9076873,-42.7945256
26084070,-22.7217114,-43.5225436
20710120,-22.9076008,-43.2800165
25953001,-22.4146997,-42.9708651
24904425,-22.9086307,-42.7966889
25953003,-22.4123642,-42.9664876
25035500,-22.7574354,-43.3171684
25953005,-22.413124,-42.9697319
26215150,-22.7497341,-43.4488616
25953008,-22.4123642,-42.9664876
25953010,-22.4113805,-42.9670279
24904435,-22.9087477,-42.7945475
26084085,-22.7351889,-43.5205785
25035510,-22.7862985,-43.3053106
25953013,-22.4113805,-42.9670279
20972280,-22.8873089,-43.2584799
26215160,-22.7517898,-43.4496057
26084090,-22.7439487,-43.5246361
20710140,-22.9071616,-43.2752551
26215170,-22.7494365,-43.4466241
20972290,-22.8865726,-43.2572058
26084100,-22.7342777,-43.5199271
25953030,-22.4107643,-42.9660989
26084105,-22.734199,-43.5213404
25035530,-22.7608356,-43.316095
26084115,-22.734199,-43.5213404
26084117,-22.7358362,-43.5209305
26215190,-22.7545092,-43.4481259
26084120,-22.7332812,-43.520956
25953050,-22.4123642,-42.9664876
20710170,-22.9051272,-43.272386
26084125,-22.7350479,-43.5221588
25035550,-22.760544,-43.3130595
25953055,-22.4123642,-42.9664876
20972320,-22.9186151,-43.2265963
25953057,-22.4090043,-42.963282
26215200,-22.7525536,-43.4508171
25953060,-22.4101557,-42.9666598
20710180,-22.909955,-43.2739791
26084135,-22.7320469,-43.5229866
25035560,-22.7862985,-43.3053106
26215210,-22.7538865,-43.448436
24904490,-22.9054812,-42.7948323
26084140,-22.7439487,-43.5246361
20710190,-22.9097913,-43.2730158
26084145,-22.7321984,-43.5249487
25035570,-22.7574383,-43.3144676
26215219,-22.7561319,-43.4607419
20972340,-22.8595282,-41.9930494
26215221,-22.7498879,-43.4487381
20972342,-22.8595282,-41.9930494
25035575,-22.7588878,-43.3146321
25953080,-22.4064948,-42.9658114
24904505,-22.9063923,-42.7937808
26215220,-22.7561319,-43.4607419
25035580,-22.7600138,-43.3077331
26215230,-22.7498609,-43.4430571
20972350,-22.8997227,-43.4450688
20972352,-22.8923272,-43.2581953
26084160,-22.7439487,-43.5246361
26084165,-22.7337224,-43.5229513
20972360,-22.8923272,-43.2581953
26215240,-22.7496044,-43.4423795
26084170,-22.7324666,-43.5236871
24904520,-22.9040687,-42.7958539
26084175,-22.7439487,-43.5246361
25953105,-22.4095708,-42.9720995
24904530,-22.9076873,-42.7945256
25953107,-22.4095708,-42.9720995
20972370,-22.8923272,-43.2581953
25035605,-22.7614767,-43.3125847
27263830,-22.527674,-44.1156352
20710230,-22.9051098,-43.2708103
26215250,-22.7503573,-43.4444355
26084180,-22.7325806,-43.522013
25035610,-22.7593241,-43.3154981
26084185,-22.7432844,-43.5245322
20972380,-22.8665499962,-43.247569461
26215260,-22.7495867,-43.4441656
28050270,-21.7626682,-41.3184501
25035615,-22.7862985,-43.3053106
27250120,-22.5077893,-44.0651235
26084195,-22.7356245,-43.5234573
27263845,-22.5232751,-44.1215743
20972390,-22.8923272,-43.2581953
22020970,-22.968704,-43.1843272
25035626,-22.7577172,-43.3173488
26084205,-22.7439487,-43.5246361
25035630,-22.7551722,-43.3154727
25953135,-22.4081799,-42.973206
26215280,-22.7531263,-43.4457429
20972400,-22.872505,-43.2704513
26084210,-22.7439487,-43.5246361
25035635,-22.7581827,-43.3151769
25953140,-22.4096593,-42.9739951
20710260,-22.9080608,-43.2732406
26084215,-22.7439487,-43.5246361
25035640,-22.7619547,-43.3222618
20972410,-22.8889829,-43.2632738
25035645,-22.7351574,-43.3351788
20710270,-22.9094332,-43.2749578
25953150,-22.4095708,-42.9720995
26084225,-22.7364981,-43.5237787
25035650,-22.7862985,-43.3053106
26215300,-22.7796039,-43.4359579
26084230,-22.7365873,-43.5238919
25035655,-22.7535274,-43.3091952
25035656,-22.7619547,-43.3222618
24904585,-22.9076873,-42.7945256
25953160,-22.4106075,-42.9687254
26084235,-22.7439487,-43.5246361
25035660,-22.7599169,-43.3161445
20710280,-22.9086704,-43.2710637
26215310,-22.7524023,-43.4450291
24904590,-22.9076873,-42.7945256
20972430,-22.8574154,-43.2660059
25035665,-22.7619547,-43.3222618
20710290,-22.9097913,-43.2730158
24904595,-22.9076873,-42.7945256
26084245,-22.7439487,-43.5246361
25035670,-22.7630268,-43.3201379
26084250,-22.7439487,-43.5246361
25035675,-22.7862985,-43.3053106
25035676,-22.7637733,-43.3136785
20710300,-22.9337473,-43.6989386
20972446,-22.8814896,-43.2682164
24904605,-22.9076873,-42.7945256
25035680,-22.7611041,-43.3123613
20972445,-22.8814896,-43.2682164
24904610,-22.9076873,-42.7945256
25953187,-22.4123642,-42.9664876
26215331,-22.7494328,-43.4416018
20972452,-22.9077778,-43.2616667
20710310,-22.9117753,-43.2781183
25953190,-22.4119744,-42.9653123
22021030,-22.9673231,-43.1804092
24904615,-22.9076873,-42.7945256
20972458,-22.8864582,-43.2587204
20972456,-22.9060066,-43.2151416
24904620,-22.9076873,-42.7945256
26215341,-22.7561319,-43.4607419
26084270,-22.7359067,-43.5248489
20972460,-22.9143894,-43.2145869
22021040,-22.9670015,-43.1823004
25953201,-22.4123642,-42.9664876
20710320,-22.9133587,-43.2794235
25953200,-22.4123642,-42.9664876
24904625,-22.9076873,-42.7945256
25953204,-22.4123642,-42.9664876
20972470,-22.8760648,-43.3360815
26215350,-22.7561319,-43.4607419
26084280,-22.7356267,-43.5254967
25953203,-22.4123642,-42.9664876
22021050,-22.9697777,-43.1868592
25035700,-22.7619547,-43.3222618
20710330,-22.9109412,-43.2792884
25035710,-22.7529897,-43.3053964
25560000,-22.7783252,-43.365116
26215360,-22.7509864,-43.4439841
26084290,-22.7364676,-43.5273408
25560001,-22.772296,-43.3632538
20972480,-22.8714747,-43.2363779
25953220,-22.4134664,-42.9634153
25560002,-22.772296,-43.3632538
26084295,-22.7361381,-43.5283026
25035720,-22.7597091,-43.3138471
26215370,-22.7396548,-43.463917
26084300,-22.736534,-43.5280191
25035725,-22.7619547,-43.3222618
20710350,-22.9097401,-43.2789386
25953230,-22.4123642,-42.9664876
25953232,-22.4139258,-42.9689377
26084305,-22.7360423,-43.5287346
25953234,-22.4121176,-42.9662287
23069650,-22.9749066,-43.6530337
25953236,-22.410817,-42.9650733
26215380,-22.7486094,-43.4440446
26084310,-22.7563795,-43.5290675
25560020,-22.7676923,-43.3784013
25953233,-22.413838,-42.9688624
25953235,-22.4128127,-42.9671506
25035730,-22.7653086,-43.3135554
20710360,-22.9088429,-43.278469
20972510,-22.92375,-43.3463787
25560030,-22.7716739,-43.3745132
26215390,-22.7493103,-43.4451627
26084320,-22.757043,-43.5264574
25953250,-22.4169605,-42.9756016
20972515,-22.8923272,-43.2581953
20710370,-22.9101971,-43.2819258
20972520,-22.9890114,-43.31221
25560041,-22.7748521,-43.3713464
26084330,-22.733133,-43.5291401
25035755,-22.7610969,-43.3198301
25953260,-22.4144845,-42.962308
25560040,-22.7726594,-43.3740501
26084335,-22.7439487,-43.5246361
25035760,-22.7862985,-43.3053106
25560051,-22.772296,-43.3632538
26084340,-22.7347599,-43.5271777
25953270,-22.4122267,-42.9609661
26084345,-22.7439487,-43.5246361
25035770,-22.7678093,-43.3169421
20972540,-22.9031097,-43.2224704
25560060,-22.7733932,-43.3749006
26084350,-22.7322768,-43.5288671
26084355,-22.7439487,-43.5246361
20972550,-22.9031097,-43.2224704
26215430,-22.7494328,-43.4416018
26084360,-22.7439487,-43.5246361
25953290,-22.4169605,-42.9756016
27264010,-22.5259722,-44.123294
26084365,-22.7439487,-43.5246361
25560080,-22.7717044,-43.3749192
25560081,-22.7723575,-43.3709122
26084370,-22.7439487,-43.5246361
28050450,-21.7531904,-41.3429396
27264020,-22.5255847,-44.1222942
26084375,-22.7439487,-43.5246361
25035800,-22.7574595,-43.3132904
26215450,-22.7516362,-43.4412757
25560090,-22.7715549,-43.3724384
27264030,-22.5256829,-44.1218938
25035810,-22.7643015,-43.3089499
25560100,-22.7714541,-43.3726201
26084390,-22.7456689,-43.51907
27264040,-22.5264791,-44.1228709
26084395,-22.7309262,-43.5265211
26084400,-22.7439487,-43.5246361
27264050,-22.5277256,-44.1210397
25953330,-22.411489,-42.9613209
26084405,-22.7439487,-43.5246361
25953338,-22.4169605,-42.9756016
27264060,-22.526762,-44.1208556
25953345,-22.4073969,-42.9607479
26215490,-22.7544981,-43.4441489
25560130,-22.7704758,-43.3758945
25953350,-22.4118081,-42.960532
27264070,-22.5281732,-44.1222739
26215500,-22.7539614,-43.4418162
27264080,-22.5269758,-44.1221982
25560150,-22.7704758,-43.3758945
26215511,-22.7573262,-43.4506568
25560151,-22.7750816,-43.3664036
25953370,-22.4114398,-42.960068
27264090,-22.5283584,-44.1228386
26215520,-22.7525623,-43.4424881
25560160,-22.768914,-43.3754409
27264100,-22.5268392,-44.1238414
25953380,-22.4112573,-42.9639456
25953386,-22.4169605,-42.9756016
26215531,-22.7561319,-43.4607419
26215532,-22.7561319,-43.4607419
25953387,-22.4169605,-42.9756016
25953390,-22.4120467,-42.9677962
25560175,-22.7694751,-43.3716271
27264110,-22.5278274,-44.1228499
26215540,-22.7561319,-43.4607419
27264120,-22.5290771,-44.1232987
25953400,-22.413487,-42.966446
27264130,-22.5290642,-44.1211079
25953410,-22.4133074,-42.9658788
25560220,-22.7668095,-43.3771307
27264160,-22.5331944,-44.1236576
25560230,-22.7667705,-43.3763349
27264170,-22.5319595,-44.1246609
25953450,-22.4169605,-42.9756016
25953455,-22.4169605,-42.9756016
25953460,-22.4154475,-42.9691159
25953470,-22.4123642,-42.9664876
25560260,-22.772296,-43.3632538
25953480,-22.4171261,-42.9645311
27264200,-22.5305323,-44.1223986
25560270,-22.7662366,-43.373478
27264210,-22.5323107,-44.122762
25953500,-22.4159695,-42.9667115
25953505,-22.4169605,-42.9756016
25560290,-22.7672145,-43.3722839
25953507,-22.4169605,-42.9756016
25953510,-22.4123642,-42.9664876
25560300,-22.7907664,-43.3699364
25036020,-22.7657631,-43.3143176
25560310,-22.7656946,-43.3774719
25953530,-22.4123642,-42.9664876
25560320,-22.77133,-43.3707308
25560330,-22.7690823,-43.3708111
25560340,-22.7669933,-43.3716938
25953560,-22.4147684,-42.9690914
25560350,-22.7671335,-43.370641
25560351,-22.772717,-43.360238
25560352,-22.8029507,-43.3187931
25036065,-22.7653615,-43.3172071
25953570,-22.416771,-42.9660369
25560355,-22.772296,-43.3632538
25560360,-22.7694645,-43.3698345
24905000,-22.9339527,-42.8245961
25036080,-22.7633075,-43.3159965
23070000,-22.9031091,-43.5665172
25560370,-22.7736818,-43.3585749
24905010,-22.9186884,-42.8178995
25560371,-22.7687863,-43.3698183
25953590,-22.4238795,-42.9550076
21235000,-22.8470201,-43.3248958
23070010,-22.9035842,-43.5662438
25953595,-22.4123642,-42.9664876
25953600,-22.4147099,-42.9678517
23070020,-22.9025859,-43.578548
25560390,-22.7690093,-43.36841
24905030,-22.9339527,-42.8245961
21235020,-22.845501,-43.3270709
23070030,-22.9023402,-43.5770457
25560400,-22.767893,-43.3672038
25560401,-22.7683791,-43.3676274
21235030,-22.8454681,-43.3278662
23070040,-22.9030471,-43.5771208
25036120,-22.7631765,-43.3144229
24905050,-22.9096439,-42.9337749
25560410,-22.7741587,-43.3499852
25953630,-22.415477,-42.9679741
27264350,-22.532259,-44.1184742
21235040,-22.8657349,-43.3638994
25036130,-22.764448,-43.3101875
23070050,-22.9025342,-43.5767143
25560420,-22.7709781,-43.3686631
25036140,-22.7600138,-43.3077331
24905070,-22.9339527,-42.8245961
25560430,-22.7682888,-43.3683143
27264370,-22.527674,-44.1156352
25953651,-22.4095708,-42.9720995
21235060,-22.8445747,-43.3298933
23070070,-22.9026396,-43.5763576
25036150,-22.7693578,-43.3216319
24905080,-22.9621076,-42.9763823
25036155,-22.7611041,-43.3123613
27264380,-22.5277223,-44.1157095
25953660,-22.4076388,-42.9602068
21235070,-22.8451013,-43.3268165
23070080,-22.9028129,-43.5757237
25036170,-22.7602907,-43.3220107
23070090,-22.9030307,-43.5757314
24905100,-22.8983653,-42.7908729
25560460,-22.7907664,-43.3699364
25953680,-22.4088842,-42.9689487
21235090,-22.8448344,-43.324922
24905110,-22.9339527,-42.8245961
25560471,-22.7907664,-43.3699364
25560472,-22.7714188,-43.3646995
25560470,-22.7907664,-43.3699364
27264410,-22.5273819,-44.1145572
25953690,-22.4077551,-42.9712924
21235100,-22.8441172,-43.3252681
25036190,-22.7637614,-43.3194746
23070110,-22.9029871,-43.5727664
24905120,-22.9282096,-42.9383209
25560480,-22.769957,-43.3639507
22743314,-22.9239786,-43.3464661
25560485,-22.769957,-43.3639507
21235110,-22.8475794,-43.3247848
21235111,-22.8475248,-43.3248024
