Nome_Escola,CEP,Vagas
CIEP 059 - ESCOLA MUNICIPAL PROFESSORA MARIA DULCE FREIRE CHAVES,27512060,281
ESCOLA MUNICIPAL DONA MARIUCHA,27513320,286
ESCOLA MUNICIPAL DO SURUBI,27512030,277
ESCOLA MUNICIPAL JULIO VERNE,27513360,281
ESCOLA ESTADUAL ANTONIO LOPES DE CAMPOS FILHO,28800000,284
ESCOLA MUNICIPAL DR. KINGSTON GUIMARAES DE SOUZA MOTTA,11111111,277
COLEGIO MUNICIPAL DUQUE DE CAXIAS,28810000,269
ESCOLA MUNICIPAL VIVA,28470000,284
ESCOLA ESTADUAL LOURENCA GUIMARAES,28495000,272
COLÉGIO ESTADUAL BARAO DE MACAUBAS,28400000,283
ESCOLA MUNICIPAL ALBERTINO NASCIMENTO,28420000,280
COLEGIO ESTADUAL ELVIDIO COSTA,28405000,278
COLEGIO ESTADUAL GERAQUE COLLET,28415000,287
COLEGIO ESTADUAL MONSENHOR BARENCO COELHO,24466460,287
ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO,24465000,286
COLÉGIO FORÇA MÁXIMA,24465266,272
COLÉGIO EDUCANDÁRIO SETE DE SETEMBRO,24473295,282
ESCOLA MUNICIPAL CARLOS DRUMMOND DE ANDRADE,24470136,274
COLEGIO ESTADUAL ISMAEL BRANCO,24460410,274
COLEGIO SANTA MONICA,24461000,280
ESCOLA ESTADUAL CRUZEIRO DO SUL,24455300,277
ESCOLA MUNICIPAL VISCONDE DE SEPETIBA,24455001,286
ESCOLA MUNICIPAL PAULO REGLUS NEVES FREIRE,24461840,285
ESCOLA MUNICIPAL CHRISANTO HENRIQUE DE SOUZA,28200000,277
ESCOLA GEORGE MARCH,25953200,288
COLEGIO ESTADUAL ROBERTO COELHO PEDROSO,25805001,271
COLEGIO MUNICIPAL MARGARETHA SCHOELLER,25803062,282
ESCOLA MUNICIPAL JOVINA DE FIGUEIREDO SALLES,25805300,284
COLEGIO ESTADUAL CONDESSA DO RIO NOVO,25804020,288
COLEGIO ESTADUAL CORONEL ANTONIO PEÇANHA,25870000,269
COLÉGIO MUNICIPAL WALTER FRANCKLIN,25802220,273
COLEGIO RUY BARBOSA,25802210,283
COLEGIO SANTO ANTONIO,25804070,283
ESCOLA NOSSA SENHORA APARECIDA,25803080,271
ESCOLA NOSSA SENHORA DE FATIMA,25802120,273
ESCOLA MUNICIPAL NOSSA SENHORA DE MONT SERRAT,25875000,270
ANDRADE COSTA - ESCOLA MUNICIPAL SAGRADA FAMILIA DE NAZARETH,27700000,284
ESCOLA ESTADUAL CÉSAR MONTEIRO,28660000,285
ESCOLA ESTADUAL ALMIRANTE PROTOGENES,28650000,284
COLEGIO ESTADUAL FLAVIO RIBEIRO DE REZENDE,28380000,284
ESCOLA MUNICIPAL CARLOS MAGNO FABRI MARTINS,28375000,273
COLÉGIO CORONEL JOSÉ ROSA DA SILVA,28383000,271
ESCOLA MUNICIPAL JOAO RODRIGUES FRANCA,28388000,277
ESCOLA MUNICIPAL ORLINDA VEIGA,28390000,283
COLÉGIO ESTADUAL GERALDINO SILVA,28396000,277
ESCOLA ESTADUAL MUNICIPALIZADA SANTA BÁRBARA,26920000,277
ESCOLA MUNICIPAL LIDDY MIGNONE,26950000,272
ESCOLA MUNICIPAL CORONEL EDMUNDO DE MACEDO SOARES E SILVA,26900000,283
COLÉGIO ESTADUAL RIBEIRO DE AVELLAR,26980000,286
COLÉGIO ESTADUAL ÁLVARO ALVIM,26910000,286
ESCOLA MUNICIPAL RIO DAS PEDRAS,28695000,270
ESCOLA MUNICIPAL BOA SORTE,28680000,280
ESCOLA ESTADUAL BACCOPARO MARTINS,28685000,270
ESCOLA MUNICIPAL PASTOR LUIZ LAURENTINO,28860000,274
COLÉGIO ESTADUAL BARRA DE SÃO JOÃO,28880000,281
ESCOLA MUNICIPAL PAU BRASIL,28740000,288
ESCOLA ESTADUAL HONESTALDA DE MORAES MARTINS,28755000,286
ESCOLA ESTADUAL MARIA MENDONÇA,28750000,282
ESCOLA ESTADUAL DOUTOR ELIAS,28757000,282
ESCOLA ESTADUAL PONTE NOVA,28767000,280
ESCOLA ESTADUAL MONCLAR GOMES FILHO,28760000,288
COLÉGIO MUNICIPAL PROFESSOR DAVI COELHO DOS SANTOS,28545000,286
COLÉGIO CENECISTA SANTA MÔNICA,28540000,287
ESCOLA MUNICIPAL CORONEL MOREIRA DA SILVA,23860000,286
COLÉGIO MUNICIPAL HERMINIA DE OLIVEIRA MATTOS,23885000,273
ESCOLA ESTADUAL MONTEBELLO BONDIM,23870000,275
ESCOLA MUNICIPAL PROFESSORA ALCIONE SOARES RANGEL DA SILVA,24942395,276
ESCOLA MUNICIPAL AMANDA  PENNA DE AZEVEDO SOARES,24900000,273
ESCOLA MUNICIPAL VEREADOR OSDEVALDO MARINS DA MATA,24945000,270
ESCOLA MUNICIPAL CARLOS MAGNO LEGENTIL MATTOS,24901010,284
ESCOLA MUNICIPAL CLERIO BOECHAT DE OLIVEIRA,24903485,276
ESCOLA ESTADUAL DOUTOR JOAO GOMES DE MATOS SOBRINHO,24910000,284
ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO,24943195,275
ESCOLA ESTADUAL JOAO PEDRO MACHADO,24920000,275
ESCOLA MUNICIPAL BARRA DE ZACARIAS,24915420,274
COLÉGIO CENECISTA MARECHAL RONDON,26700000,281
ESCOLA MUNICIPAL CILENCINA RUBEM DE OLIVEIRA MELO,23970000,271
