Nome_Escola,CEP,Vagas,Latitude,Longitude
ESCOLA MUNICIPAL CINCO DE JULHO,21381370,27,-22.8792965,-43.3214113
COLEGIO MALLET SOARES - B 121,22061020,20,-22.9758367,-43.1906397
ESCOLA MUNICIPAL BARÃO DE ITACURUSSÁ,20510230,23,-22.9324885,-43.2380468
ESCOLA MUNICIPAL DOUTOR CÍCERO PENNA - A 1976,22021001,26,-22.9676181,-43.1787326
ESCOLA MUNICIPAL MONTEIRO LOBATO,26221150,11,-22.7625717,-43.4413275
COLÉGIO MARISTA SÃO JOSÉ,20530001,21,-22.9325728,-43.2410248
COLEGIO CELIO RODRIGUES,20780200,19,-22.8909221,-43.2709656
ESCOLA MUNICIPAL VIRGILIO DE MELO FRANCO,20740440,22,-22.902594,-43.3106921
ESCOLA MUNICIPAL SENADOR CORREA,22231180,18,-22.9345897,-43.1802721
ESCOLA ESTADUAL PONTE NOVA,28767000,12,-22.1838213,-42.1066163
ESCOLA MUNICIPAL ENGENHEIRO ROBERTO MAGNO DE CARVALHO,20755110,22,-22.8843832,-43.2927911
ESCOLA MUNICIPAL GILBERTO AMADO,21665280,22,-22.8316289,-43.3733795
ESCOLA MUNICIPAL PROFESSORA ALCIONE SOARES RANGEL DA SILVA,24942395,26,-22.9473722,-42.9124955
ESCOLA MUNICIPAL PIAUI,21660000,25,-22.8427621,-43.373915
ESCOLA MUNICIPAL ROBERT KENNEDY,25640322,30,-22.5258349,-43.1870964
ESCOLA DAS COMUNIDADES SANTO ANTONIO,25635130,23,-22.5277053,-43.1772086
COLÉGIO DAS MERCÊS,28630040,15,-30.1078347,-51.3119517
ESCOLA MUNICIPAL CORONEL EDMUNDO DE MACEDO SOARES E SILVA,26900000,31,-22.4577374,-43.4806912
ESCOLA MUNICIPAL MARIETA DA CUNHA DA SILVA,21842030,25,-22.8700356,-43.4775214
COLEGIO LOGOSÓFICO GONZÁLEZ PECOTCHE,22290020,20,-22.9538622,-43.1821537
COLEGIO MERCEDARIO PIO XII MERCES,21660010,31,-22.8377077,-43.3735461
COLEGIO ESTADUAL JOEL DE OLIVEIRA,21670200,25,-22.8532987,-43.3810078
ESCOLA ESTADUAL MARIA MENDONÇA,28750000,11,-22.0640032,-42.0601671
ESCOLA MUNICIPAL SAMPAIO CORRÊA,21843040,11,-22.8713288,-43.4883603
COLÉGIO CORONEL JOSÉ ROSA DA SILVA,28383000,23,-21.0383459,-41.8976943
ESCOLA MUNICIPAL ALGODÃO DOCE,27525170,28,-22.4829942,-44.4949736
COLEGIO ESTADUAL LEOPOLDO MACHADO,26250610,18,-22.766878,-43.439714
ESCOLA MUNICIPAL JOÃO SALDANHA,22290010,29,-22.9533954,-43.1824168
ESCOLA MUNICIPAL TAGORE,20756030,14,-22.8916397,-43.3107394
ESCOLA MUNICIPAL ALMIRANTE NEWTON BRAGA DE FARIA,21235111,24,-22.8475248,-43.3248024
COLEGIO ESTADUAL JOAO MUSCH,26255110,20,-22.7561319,-43.4607419
COLÉGIO DOS SANTOS ANJOS,20530050,25,-22.9363115,-43.2432818
GINASIO ESTADUAL CENTRAL DO BRASIL,20775100,14,-22.8982226,-43.2753584
ESCOLA ESTADUAL MANOEL TEIXEIRA CAMPOS JUNIOR,27197000,14,-22.5177053,-44.0025719
ESCOLA MUNICIPAL EUGÊNIA DUTRA HAMANN,21521330,20,-22.8174611,-43.3527488
ESCOLA MUNICIPALIZADA CARMEN NUNES MARTINS,25615171,12,-22.4927988,-43.1513123
1/2 ESCOLA MUNICIPAL SENADOR ALENCASTRO GUIMARÃES - PÇ CAV,22040030,11,-22.9647539,-43.1806775
ESCOLA GERMANO VALENTE,25625073,23,-22.5173613,-43.1689966
COLEGIO SANTA MONICA,20780230,24,-22.8933613,-43.2729826
COLÉGIO ESTADUAL PROFESSOR JAMIL EL-JAICK,28625020,26,-22.2839156,-42.5352132
ESCOLA MUNICIPAL LUIZ CARLOS SOARES,25630110,15,-22.5270611,-43.1626063
ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO,24465000,15,-22.8220148,-43.0500475
ESCOLA PALAS (R. SÃO RAFAEL),20530380,23,-22.9449142,-43.2550805
ESCOLA MUNICIPAL HELIO SMIDT,20756115,12,-22.895332,-43.2957776
ESCOLA MUNICIPAL ANA MOHAMMAD,25635412,13,-22.5311998,-43.1837591
ESCOLA MUNICIPAL SENADOR MARIO MARTINS,25615060,12,-22.504839,-43.154889
COLÉGIO ESTADUAL BARRA DE SÃO JOÃO,28880000,29,-22.5742501,-41.9878239
ESCOLA MUNICIPAL GUATEMALA,20240200,30,-22.917813,-43.188113
ESCOLA MUNICIPAL BADEN POWELL,21670440,20,-22.8479713,-43.3752435
ESCOLA MUNICIPAL CARLOS MAGNO FABRI MARTINS,28375000,11,-20.9280524,-41.8704877
ESCOLA ESTADUAL JÚLIO SALUSSE,28605300,21,-22.263179,-42.5222675
ESCOLA MUNICIPAL MARECHAL MASCARENHAS DE MORAES,26285621,14,-22.7504259,-43.4596949
ESCOLA ESTADUAL DOUTOR ELIAS,28757000,21,-22.2029232,-42.2532466
COLEGIO MARECHAL LOTT,21660300,27,-22.8389195,-43.3741774
COLÉGIO MUNICIPAL HERMINIA DE OLIVEIRA MATTOS,23885000,29,-22.9863249,-44.0853346
REDE MV1 - COLÉGIO MV1 JÚNIOR,20510060,24,-22.9338086635,-43.2402547974
COLEGIO ESTADUAL RUY BARBOSA,25635090,13,-22.5278012,-43.1783486
COLEGIO ESTADUAL D. PEDRO II,25620000,30,-22.5112498,-43.1779306
COLEGIO ESTADUAL MILTON CAMPOS,26285490,12,-22.7463156,-43.4546705
ESCOLA ESTADUAL OTÁVIO TEIXEIRA,27185000,21,-22.5985648,-44.0366285
ESCOLA MUNICIPAL SOARES PEREIRA,20511001,26,-22.9228961,-43.2361332
ESCOLA MUNICIPAL MANOEL BOMFIM,20771350,23,-22.8846732,-43.2748686
ESCOLA CASTELNUOVO,22080040,16,-22.9697777,-43.1868592
COLEGIO PIO XII,21670410,12,-22.8466055,-43.3761114
ESCOLA MUNICIPAL DELFIM MOREIRA,20975020,18,-22.8939627,-43.2523761
ESCOLA MUNICIPAL DOUTOR RUBENS FALCÃO,26285130,17,-22.7506951,-43.4660409
ESCOLA MUNICIPAL JUSCELINO KUBITSCHEK DE OLIVEIRA,28616260,20,-22.2949823,-42.5062437
COLEGIO ESTADUAL ABDIAS NASCIMENTO,26225530,25,-22.7622316,-43.4259131
ESCOLA MUNICIPAL VIVA,28470000,13,-21.5415319,-42.1835592
ESCOLA MUNICIPAL PRUDENTE DE MORAES,20521210,21,-22.9293912,-43.2324074
COLEGIO NACIONAL,21311060,27,-22.8865276,-43.3286121
ESCOLA MUNICIPAL MANOEL DE ABREU,21525530,17,-22.8037221,-43.3569288
ESCOLA MUNICIPAL MAURICE MAETERLINK,21660100,23,-22.8405601,-43.3792897
ESCOLA GEORGE MARCH,25953200,12,-22.4123642,-42.9664876
ESCOLA MUNICIPAL PASTOR LUIZ LAURENTINO,28860000,11,-22.4836725,-42.2015431
ESCOLA MUNICIPAL VISCONDE DE SEPETIBA,24455001,12,-22.8150444,-43.023966
COLÉGIO VITAL GONÇALVES,20766570,16,-22.8639895,-43.292811
ESCOLA MUNICIPAL PAULO REGLUS NEVES FREIRE,24461840,19,-22.7944578,-43.0343412
ESCOLA MUNICIPAL GERALDO VENTURA DIAS,25635114,12,-22.5390299,-43.1781616
ESCOLA MUNICIPAL PROFESSOR ALVARO ESPINHEIRA,21660520,25,-22.8401095,-43.3780741
ESCOLA MUNICIPAL PAU BRASIL,28740000,16,-22.0838675,-41.8722789
ESCOLA MUNICIPAL MADRE BENEDITA,21670450,11,-22.8494451,-43.3812243
COLEGIO ESTADUAL DOUTOR MARIO GUIMARAES,26220570,17,-22.7597309,-43.4356217
COLEGIO SANTA ISABEL - ASVP,25620180,15,-22.5112498,-43.1779306
ESCOLA PAROQUIAL NOSSA SENHORA DA GLORIA,25630050,23,-22.5285673,-43.1610218
ESCOLA MUNICIPAL FINLANDIA,22783116,10,-22.9762486,-43.4157604
ESCOLA MUNICIPAL BOLIVAR,20756116,21,-22.895332,-43.2957776
ESCOLA MUNICIPAL NOSSA SENHORA DE MONT SERRAT,25875000,15,-22.0234075,-43.3463577
COLEGIO ESTADUAL CORONEL ANTONIO PEÇANHA,25870000,11,-22.0294433,-43.2059216
ESCOLA MUNICIPAL PROFESSORA IZABEL DOS SANTOS SOARES MELLO,26250240,14,-22.7690777,-43.4436161
ESCOLA MUNICIPAL DEPUTADO HILTON GAMA,21520410,18,-22.807127,-43.3577767
ESCOLA MUNICIPAL MEDEIROS E ALBUQUERQUE,20780170,19,-22.9001713,-43.2688188
ESCOLA MUNICIPAL JOAO KOPKE,20751090,20,-22.8846491,-43.3084522
COLÉGIO ESTADUAL MONTEIRO DE CARVALHO,20241263,23,-22.9246729,-43.1897791
ESCOLA MUNICIPAL JAIME COSTA,21381330,27,-22.8756912,-43.3138702
COLEGIO ERNANI CARDOSO,20780140,14,-22.9022201,-43.2718464
COLÉGIO PINHEIRO GUIMARÃES,22221000,24,-22.9256611,-43.1760713
ESCOLA MUNICIPAL BELGICA,21660130,22,-22.8394746,-43.3805412
COLÉGIO PINHEIRO GUIMARÃES - HG 43,22040020,19,-22.9684128,-43.1838581
JARDIM ESCOLA LUME DE ESTRELAS,20766280,16,-22.8639579,-43.2870762
COLÉGIO ESTADUAL MARIETA CUNHA DA SILVA,21840600,17,-22.8741041,-43.4786308
ESCOLA ESTADUAL MONTEBELLO BONDIM,23870000,24,-22.9213835,-43.9475087
ESCOLA MUNICIPAL JOAO RODRIGUES FRANCA,28388000,18,-20.9814243,-41.8426073
COLÉGIO PENSI,22230060,14,-22.9370897,-43.1775269
ESCOLA MUNICIPAL HAITI,21311330,12,-22.890563,-43.3226274
1/2 - COLÉGIO SAGRADO CORAÇÃO DE MARIA - T 56,22030002,25,-22.9683555257,-43.1884878708
COLÉGIO ESTADUAL CARLOS CORTES,28614310,13,-22.2921826,-42.5149013
ESCOLA MUNICIPAL GOIAS,20756120,28,-22.895332,-43.2957776
ESCOLA MUNICIPAL PROFESSOR RUY DE QUEIROZ,26230590,23,-22.7681307,-43.4171294
COLEGIO ESTADUAL CALIFORNIA,26220350,15,-22.756296,-43.4398073
COLÉGIO NOSSA SENHORA DAS DORES,28610190,25,-22.2887261,-42.5340796
ESCOLA MUNICIPAL EMILIO CARLOS,21675130,12,-22.8447971,-43.3668442
COLÉGIO ESTADUAL AMARO CAVALCANTI,22221020,29,-22.9304328,-43.1786085
ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO,24943195,14,-22.9141435,-42.9306705
JARDIM ESCOLA MUNDO INFANTIL,20510130,24,-22.9286416,-43.2439914
ESCOLA MUNICIPAL ANTONIO PEREIRA,20750340,21,-22.8693168,-43.3061814
ESCOLA MUNICIPAL OSWALDO TEIXEIRA,21311430,23,-22.8954973,-43.3215435
ESCOLA MUNICIPAL PROFESSOR SOUZA DA SILVEIRA,21380400,26,-22.8821324236,-43.3165203823
ESCOLA ESTADUAL LOURENCA GUIMARAES,28495000,30,-21.6257256,-42.1020627
ESCOLA BRITÂNICA,22290240,26,-22.9511149,-43.1809269
ANDRADE COSTA - ESCOLA MUNICIPAL SAGRADA FAMILIA DE NAZARETH,27700000,24,-22.4074571,-43.6613985
COLÉGIO ESTADUAL PROFESSOR DALTRO SANTOS,21840447,25,-22.8754751,-43.4793187
