Nome_Escola,CEP,Vagas,Latitude,Longitude
COLÉGIO SOUZA MARQUES,21310310,133,-22.8818576,-43.3303005
ESCOLA MUNICIPAL RUGENDAS,21310260,141,-22.879918,-43.3373771
COLÉGIO SÃO JUDAS TADEU,20740321,79,-22.8959587,-43.3021819
ESCOLA MUNICIPAL TOBIAS BARRETO,20745125,174,-22.900686,-43.3036675
ESCOLA MUNICIPAL CARDEAL ARCOVERDE,21310130,166,-22.8759917,-43.3431973
ESCOLA MUNICIPAL FÉLIX PACHECO,20740260,200,-22.8934547,-43.3115886
ESCOLA MUNICIPAL SÉRVULO DE LIMA,20740210,76,-22.889144,-43.315403
ESCOLA MUNICIPAL HAITI,21311330,113,-22.890563,-43.3226274
ESCOLA MUNICIPAL OSWALDO TEIXEIRA,21311430,138,-22.8954973,-43.3215435
ESCOLA MUNICIPAL CINCO DE JULHO,21381370,184,-22.8792965,-43.3214113
ESCOLA MUNICIPAL JAIME COSTA,21381330,164,-22.8756912,-43.3138702
ESCOLA MUNICIPAL PREFEITO FILADELFO AZEVEDO,21381300,101,-22.8753406,-43.3141274
ESCOLA MUNICIPAL GOIAS,20756120,192,-22.895332,-43.2957776
ESCOLA MUNICIPAL BOLIVAR,20756116,158,-22.895332,-43.2957776
ESCOLA MUNICIPAL ENGENHEIRO ROBERTO MAGNO DE CARVALHO,20755110,100,-22.8843832,-43.2927911
ESCOLA MUNICIPAL HELIO SMIDT,20756115,191,-22.895332,-43.2957776
ESCOLA MUNICIPAL FRANCA,21381009,97,-22.8801603,-43.3135934
ESCOLA MUNICIPAL JOAO KOPKE,20751090,184,-22.8846491,-43.3084522
ESCOLA MUNICIPAL TAGORE,20756030,161,-22.8916397,-43.3107394
ESCOLA MUNICIPAL ALAGOAS,20751002,200,-22.8815306,-43.2941241
ESCOLA MUNICIPAL MARANHAO,20750092,200,-22.8814021,-43.2934758
ESCOLA MUNICIPAL SUECIA,20750190,186,-22.8754987,-43.2989247
ESCOLA MUNICIPAL PROFESSOR SOUZA DA SILVEIRA,21380400,80,-22.8821324236,-43.3165203823
ESCOLA MUNICIPAL QUINTINO BOCAIÚVA,21380210,176,-22.886607,-43.3189379
ESCOLA MUNICIPAL ANTONIO PEREIRA,20750340,187,-22.8693168,-43.3061814
ESCOLA MUNICIPAL GUATEMALA,20240200,82,-22.917813,-43.188113
COLÉGIO ESTADUAL AMARO CAVALCANTI,22221020,200,-22.9304328,-43.1786085
COLÉGIO PINHEIRO GUIMARÃES,22221000,81,-22.9256611,-43.1760713
COLÉGIO SANTO ANTÔNIO MARIA ZACCARIA,22220000,154,-22.9279602,-43.1807701
COLÉGIO ANGELORUM,20241220,145,-22.9199307,-43.1801882
COLÉGIO FORÇA MÁXIMA,22231140,179,-22.9331406,-43.1804256
ESCOLA EDEM,22221070,144,-22.9312934,-43.1811694
ESCOLA MUNICIPAL SENADOR CORREA,22231180,200,-22.9345897,-43.1802721
COLÉGIO ESTADUAL MONTEIRO DE CARVALHO,20241263,155,-22.9246729,-43.1897791
ESCOLA MUNICIPAL SANTA CATARINA,20251460,173,-22.9157544,-43.1911831
COLEGIO SÃO PAULO,22080030,200,-22.9697777,-43.1868592
ESCOLA CASTELNUOVO,22080040,197,-22.9697777,-43.1868592
ESCOLA PENEDO,22080001,200,-22.9697777,-43.1868592
ESCOLA MARILIA DE DIRCEU,22420010,200,-22.9846898,-43.1968891
ESCOLA MUNICIPAL SERGIO VIEIRA DE MELLO,22441050,176,-22.978989,-43.2224888
COLÉGIO VITAL GONÇALVES,20766570,113,-22.8639895,-43.292811
JARDIM ESCOLA LUME DE ESTRELAS,20766280,191,-22.8639579,-43.2870762
ESCOLA MUNICIPAL THOMAS JEFFERSON,21530014,162,-22.8287705,-43.3454822
ESCOLA MUNICIPAL MENDES VIANA,21235280,162,-22.8375268,-43.3320636
ESCOLA MUNICIPAL ALFREDO DE PAULA FREITAS,21235500,142,-22.8373926,-43.3210774
ESCOLA MUNICIPAL ALMIRANTE NEWTON BRAGA DE FARIA,21235111,181,-22.8475248,-43.3248024
ESCOLA MUNICIPAL MATO GROSSO,21235130,153,-22.8427776,-43.3262394
COLÉGIO SESON,21535420,125,-22.8155907,-43.3405209
ESCOLA MUNICIPAL ALEXANDRE DE GUSMÃO,21535130,135,-22.8163012,-43.3405062
COLEGIO MERCÚRIO,21532470,119,-22.8054158,-43.3564639
ESCOLA MUNICIPAL ARTUR AZEVEDO,21520460,172,-22.8096765,-43.3572333
ESCOLA MUNICIPAL DEPUTADO HILTON GAMA,21520410,200,-22.807127,-43.3577767
ESCOLA MUNICIPAL EUGÊNIA DUTRA HAMANN,21521330,155,-22.8174611,-43.3527488
ESCOLA MUNICIPAL MANOEL DE ABREU,21525530,151,-22.8037221,-43.3569288
COLEGIO ESTADUAL JOEL DE OLIVEIRA,21670200,121,-22.8532987,-43.3810078
COLEGIO PIO XII,21670410,148,-22.8466055,-43.3761114
ESCOLA MUNICIPAL BADEN POWELL,21670440,145,-22.8479713,-43.3752435
COLEGIO MARECHAL LOTT,21660300,183,-22.8389195,-43.3741774
COLEGIO MERCEDARIO PIO XII MERCES,21660010,106,-22.8377077,-43.3735461
ESCOLA MUNICIPAL BELGICA,21660130,200,-22.8394746,-43.3805412
ESCOLA MUNICIPAL EMILIO CARLOS,21675130,118,-22.8447971,-43.3668442
ESCOLA MUNICIPAL GILBERTO AMADO,21665280,101,-22.8316289,-43.3733795
ESCOLA MUNICIPAL ISAIAS ALVES,21675040,110,-22.8447271,-43.3649045
ESCOLA MUNICIPAL MADRE BENEDITA,21670450,158,-22.8494451,-43.3812243
ESCOLA MUNICIPAL MAURICE MAETERLINK,21660100,162,-22.8405601,-43.3792897
ESCOLA MUNICIPAL OSWALDO GOELDI,21675310,183,-22.8476209,-43.3725451
ESCOLA MUNICIPAL PIAUI,21660000,176,-22.8427621,-43.373915
ESCOLA MUNICIPAL PROFESSOR ALVARO ESPINHEIRA,21660520,84,-22.8401095,-43.3780741
ESCOLA MUNICIPAL ROSE KLABIN,21675440,174,-22.8463673,-43.372833
COLÉGIO ESTADUAL BANGU,21840000,200,-22.8667795,-43.4704282
COLÉGIO ESTADUAL MARIETA CUNHA DA SILVA,21840600,87,-22.8741041,-43.4786308
COLÉGIO ESTADUAL PROFESSOR DALTRO SANTOS,21840447,79,-22.8754751,-43.4793187
ESCOLA MUNICIPAL MARIETA DA CUNHA DA SILVA,21842030,101,-22.8700356,-43.4775214
ESCOLA MUNICIPAL PRACINHA JOÃO DA SILVA,21840450,200,-22.8748432,-43.4728022
ESCOLA MUNICIPAL EDISON CARNEIRO,21843000,84,-22.8742263,-43.4685442
ESCOLA MUNICIPAL SAMPAIO CORRÊA,21843040,158,-22.8713288,-43.4883603
COLÉGIO ESTADUAL CARLOS CORTES,28614310,103,-22.2921826,-42.5149013
COLÉGIO DAS MERCÊS,28630040,179,-30.1078347,-51.3119517
COLÉGIO ESTADUAL DOUTOR GALDINO DO VALLE FILHO,28625140,117,-22.2887547,-42.5360447
COLÉGIO ESTADUAL PROFESSOR JAMIL EL-JAICK,28625020,166,-22.2839156,-42.5352132
COLÉGIO NOSSA SENHORA DAS DORES,28610190,112,-22.2887261,-42.5340796
ESCOLA ESTADUAL JÚLIO SALUSSE,28605300,147,-22.263179,-42.5222675
COLÉGIO DOM PEDRO I,28613250,190,-22.2915057,-42.5309894
COLÉGIO ESTADUAL DOUTOR TUFFY EL-JAICK,28630140,77,-22.2585379,-42.5350952
ESCOLA MUNICIPAL PROFESSORA NAIR DE ARAÚJO RODRIGUES,28630330,86,-22.236844,-42.5500587
ESCOLA MUNICIPAL JUSCELINO KUBITSCHEK DE OLIVEIRA,28616260,82,-22.2949823,-42.5062437
COLÉGIO ESTADUAL DOUTOR JOÃO BAZET,28613560,84,-22.2914756,-42.5320998
COLEGIO ESTADUAL DOUTOR MARIO GUIMARAES,26220570,151,-22.7597309,-43.4356217
COLEGIO ESTADUAL CALIFORNIA,26220350,156,-22.756296,-43.4398073
COLEGIO ESTADUAL LEOPOLDO MACHADO,26250610,100,-22.766878,-43.439714
COLEGIO ESTADUAL DOM ADRIANO HYPOLITO,26255350,135,-22.7601765,-43.4558908
COLEGIO ESTADUAL JOAO MUSCH,26255110,182,-22.7561319,-43.4607419
COLEGIO ESTADUAL MESTRE HIRAN,26255140,119,-22.7561319,-43.4607419
ESCOLA MUNICIPAL MONTEIRO LOBATO,26221150,142,-22.7625717,-43.4413275
ESCOLA MUNICIPAL PROFESSOR RUY DE QUEIROZ,26230590,118,-22.7681307,-43.4171294
ESCOLA MUNICIPAL PROFESSORA IZABEL DOS SANTOS SOARES MELLO,26250240,108,-22.7690777,-43.4436161
COLEGIO ESTADUAL MILTON CAMPOS,26285490,123,-22.7463156,-43.4546705
ESCOLA MUNICIPAL HEITOR DANTAS,26285320,84,-22.7478309,-43.4521781
COLEGIO ESTADUAL ARRUDA NEGREIROS,26286020,153,-22.7525826,-43.4639136
COLEGIO ESTADUAL VENINA TORRES,26286160,180,-22.7516555,-43.4695539
ESCOLA MUNICIPAL DOUTOR RUBENS FALCÃO,26285130,89,-22.7506951,-43.4660409
ESCOLA MUNICIPAL MARECHAL MASCARENHAS DE MORAES,26285621,142,-22.7504259,-43.4596949
COLEGIO ESTADUAL ABDIAS NASCIMENTO,26225530,189,-22.7622316,-43.4259131
ESCOLA MUNICIPAL CAPISTRANO DE ABREU,26225700,158,-22.765238,-43.4283099
ESCOLA MUNICIPALIZADA PROFESSORA SARAH FARIA BRAZ,25850000,87,-22.1588749,-43.2904739
COLEGIO ESTADUAL RUY BARBOSA,25635090,131,-22.5278012,-43.1783486
ESCOLA DAS COMUNIDADES SANTO ANTONIO,25635130,200,-22.5277053,-43.1772086
ESCOLA MUNICIPAL GERALDO VENTURA DIAS,25635114,200,-22.5390299,-43.1781616
ESCOLA MUNICIPAL ANA MOHAMMAD,25635412,200,-22.5311998,-43.1837591
ESCOLA MUNICIPAL ROBERT KENNEDY,25640322,200,-22.5258349,-43.1870964
ESCOLA SAO CRISTOVAO,25640040,200,-22.5227598,-43.1830253
ESCOLA MUNICIPAL SENADOR MARIO MARTINS,25615060,200,-22.504839,-43.154889
COLEGIO ESTADUAL D. PEDRO II,25620000,164,-22.5112498,-43.1779306
COLEGIO SANTA ISABEL - ASVP,25620180,190,-22.5112498,-43.1779306
ESCOLA MUNICIPAL MARIA CAMPOS,25610141,196,-22.5084261,-43.1664846
ESCOLA MUNICIPAL DR. RUBENS DE CASTRO BOMTEMPO,25635370,94,-22.5333729,-43.1777782
ESCOLA GERMANO VALENTE,25625073,176,-22.5173613,-43.1689966
ESCOLA MUNICIPAL LUIZ CARLOS SOARES,25630110,176,-22.5270611,-43.1626063
ESCOLA PAROQUIAL NOSSA SENHORA DA GLORIA,25630050,137,-22.5285673,-43.1610218
ESCOLA MUNICIPALIZADA CARMEN NUNES MARTINS,25615171,192,-22.4927988,-43.1513123
COLÉGIO ESTADUAL PRINCESA ISABEL,25650025,186,-22.5300645,-43.2110285
ESCOLA MUNICIPALIZADA VILA NOVA ESPERANÇA,27175000,93,-22.6262971,-43.9058584
ESCOLA ESTADUAL OTÁVIO TEIXEIRA,27185000,78,-22.5985648,-44.0366285
ESCOLA ESTADUAL MANOEL TEIXEIRA CAMPOS JUNIOR,27197000,128,-22.5177053,-44.0025719
ESCOLA MUNICIPAL ALGODÃO DOCE,27525170,89,-22.4829942,-44.4949736
ESCOLA MUNICIPAL VIVA,28470000,200,-21.5415319,-42.1835592
ESCOLA ESTADUAL LOURENCA GUIMARAES,28495000,98,-21.6257256,-42.1020627
ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO,24465000,200,-22.8220148,-43.0500475
COLEGIO ESTADUAL ISMAEL BRANCO,24460410,200,-22.8121138,-43.0410035
ESCOLA ESTADUAL CRUZEIRO DO SUL,24455300,128,-22.8063772,-43.0266215
ESCOLA MUNICIPAL VISCONDE DE SEPETIBA,24455001,159,-22.8150444,-43.023966
ESCOLA MUNICIPAL PAULO REGLUS NEVES FREIRE,24461840,98,-22.7944578,-43.0343412
ESCOLA MUNICIPAL CHRISANTO HENRIQUE DE SOUZA,28200000,85,-21.6368446,-41.0484428
ESCOLA GEORGE MARCH,25953200,118,-22.4123642,-42.9664876
COLEGIO ESTADUAL CORONEL ANTONIO PEÇANHA,25870000,74,-22.0294433,-43.2059216
ESCOLA MUNICIPAL NOSSA SENHORA DE MONT SERRAT,25875000,177,-22.0234075,-43.3463577
ANDRADE COSTA - ESCOLA MUNICIPAL SAGRADA FAMILIA DE NAZARETH,27700000,79,-22.4074571,-43.6613985
ESCOLA ESTADUAL ALMIRANTE PROTOGENES,28650000,199,-22.0541338,-42.5236356
COLEGIO ESTADUAL FLAVIO RIBEIRO DE REZENDE,28380000,200,-21.0333287,-41.9878239
ESCOLA MUNICIPAL CARLOS MAGNO FABRI MARTINS,28375000,200,-20.9280524,-41.8704877
COLÉGIO CORONEL JOSÉ ROSA DA SILVA,28383000,146,-21.0383459,-41.8976943
ESCOLA MUNICIPAL JOAO RODRIGUES FRANCA,28388000,114,-20.9814243,-41.8426073
ESCOLA MUNICIPAL ORLINDA VEIGA,28390000,146,-20.9678604,-42.0410655
COLÉGIO ESTADUAL GERALDINO SILVA,28396000,186,-20.9318492,-41.9487304
ESCOLA ESTADUAL MUNICIPALIZADA SANTA BÁRBARA,26920000,118,-22.5338785,-43.5724812
ESCOLA MUNICIPAL LIDDY MIGNONE,26950000,118,-22.4313914,-43.4289497
ESCOLA MUNICIPAL CORONEL EDMUNDO DE MACEDO SOARES E SILVA,26900000,114,-22.4577374,-43.4806912
COLÉGIO ESTADUAL ÁLVARO ALVIM,26910000,156,-22.4828894,-43.5067415
ESCOLA MUNICIPAL PASTOR LUIZ LAURENTINO,28860000,173,-22.4836725,-42.2015431
COLÉGIO ESTADUAL BARRA DE SÃO JOÃO,28880000,153,-22.5742501,-41.9878239
ESCOLA MUNICIPAL PAU BRASIL,28740000,200,-22.0838675,-41.8722789
ESCOLA ESTADUAL HONESTALDA DE MORAES MARTINS,28755000,157,-22.0681494,-42.1605169
ESCOLA ESTADUAL MARIA MENDONÇA,28750000,88,-22.0640032,-42.0601671
ESCOLA ESTADUAL DOUTOR ELIAS,28757000,76,-22.2029232,-42.2532466
ESCOLA ESTADUAL PONTE NOVA,28767000,200,-22.1838213,-42.1066163
ESCOLA ESTADUAL MONCLAR GOMES FILHO,28760000,158,-22.1409883,-42.0729049
ESCOLA MUNICIPAL CORONEL MOREIRA DA SILVA,23860000,74,-22.9598984,-44.0413146
COLÉGIO MUNICIPAL HERMINIA DE OLIVEIRA MATTOS,23885000,74,-22.9863249,-44.0853346
ESCOLA ESTADUAL MONTEBELLO BONDIM,23870000,73,-22.9213835,-43.9475087
ESCOLA MUNICIPAL PROFESSORA ALCIONE SOARES RANGEL DA SILVA,24942395,100,-22.9473722,-42.9124955
ESCOLA MUNICIPAL VEREADOR OSDEVALDO MARINS DA MATA,24945000,169,-22.9473722,-42.9124955
ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO,24943195,134,-22.9141435,-42.9306705
ESCOLA MUNICIPAL BARRA DE ZACARIAS,24915420,143,-22.9339527,-42.8245961
